Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au,,IV,FV,D,BID,ln(Bid),FV 19/20,FV 20/21,2 YR AVG,PREDICTED VALUE
4896,C,MALDINI,Milan,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
2378,C,PASTORE,Roma,5,6,6,0,0,0,0,0,0,0,0,0,0,0,,5,3,-2,,,,6,,38.84109436
256,D,JUAN JESUS,Roma,5,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,,5,2,-3,,,,5.75,,30.67080405
2168,D,MUSACCHIO,Lazio,5,6,5.88,0,0,0,0,0,0,0,0,2,0,0,,7,1,-6,,,,6,,34.91935501
5395,A,BRAAF,Udinese,4,6.17,7.17,1,0,0,0,0,0,0,0,0,0,0,,4,4,0,,,,6.17,,77.07805301
2815,P,TERRACCIANO,Fiorentina,4,6.25,6,0,4,1,0,0,0,0,0,0,0,0,,1,8,7,,,,6.25,,38.84109436
4964,P,VICARIO,Cagliari,4,6.5,5,0,6,0,0,0,0,0,0,0,0,0,,1,5,4,,,,6.5,,6.159933125
4996,P,PANDUR,Verona,4,6.12,4.62,0,6,0,0,0,0,0,0,0,0,0,,1,4,3,,,,6.12,,-6.258908145
2722,P,RAVAGLIA F.,Bologna,4,5.88,3.38,0,10,0,0,0,0,0,0,0,0,0,,1,1,0,,,,5.88,,-46.78354808
318,P,MARCHETTI,Genoa,4,5.88,3.12,0,11,0,0,0,0,0,0,0,0,0,,1,1,0,,,,5.88,,-55.28065
5361,A,RABBI,Bologna,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5406,D,DI PARDO,Juventus,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
2855,C,VIEIRA,Verona,4,5.62,5.5,0,0,0,0,0,0,0,0,1,0,0,,4,1,-3,,,,5.62,,22.50051374
5086,A,ZIRKZEE,Parma,4,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,,6,3,-3,,,,5.5,,22.50051374
5379,D,ONGUENE',Genoa,4,5,5,0,0,0,0,0,0,0,0,0,0,0,,5,1,-4,,,,5,,6.159933125
2743,A,SANTANDER,Bologna,4,5.75,6.25,0,0,0,0,0,0,1,0,0,0,0,,8,1,-7,,,,5.75,,47.01138467
5391,A,KOKORIN,Fiorentina,4,5.75,5.62,0,0,0,0,0,0,0,0,1,0,0,,10,3,-7,,,,5.75,,26.42225309
611,P,RAFAEL,Spezia,3,7,5.67,0,5,0,0,0,0,1,0,0,0,0,,1,3,2,,,,7,,28.05631115
5376,D,PASTINA,Benevento,3,6.33,6.5,0,0,0,0,0,0,1,0,1,0,0,,1,2,1,,,,6.33,,55.18167498
5353,D,BALOGH,Parma,3,5.83,5.67,0,0,0,0,0,0,0,0,1,0,0,,1,2,1,,,,5.83,,28.05631115
